"id","source_id","cot_type","how"
39675124,19,"a-n-A-C-F-m","m-g"
39670554,19,"a-n-A-C-F-m","m-g"
39686889,10,"a-n-A-C-F-m","m-g"
39669264,8,"a-n-A-C-F-m","m-g"
39666042,55,"a-n-A-C-F-m","m-g"
39661456,61,"a-n-A-C-F-m","m-g"
39685612,10,"a-n-A-C-F-m","m-g"
39667146,38,"a-n-A-C-F-m","m-g"
39659567,53,"a-n-A-C-F-m","m-g"
39662963,79,"a-n-A-C-F-m","m-g"
39672849,63,"a-n-A-C-F-m","m-g"
39671170,42,"a-n-A-C-F-m","m-g"
39662505,53,"a-n-A-C-F-m","m-g"
39685714,24,"a-n-A-C-F-m","m-g"
39689849,62,"a-n-A-C-F-m","m-g"
39674069,38,"a-n-A-C-F-m","m-g"
39673590,26,"a-n-A-C-F-m","m-g"
39677960,42,"a-n-A-C-F-m","m-g"
39681323,41,"a-n-A-C-F-m","m-g"
39683352,25,"a-n-A-C-F-m","m-g"
39673950,25,"a-n-A-C-F-m","m-g"
39658776,29,"a-n-A-C-F-m","m-g"
39661909,6,"a-n-A-C-F-m","m-g"
39674850,37,"a-n-A-C-F-m","m-g"
39674602,25,"a-n-A-C-F-m","m-g"
39676850,43,"a-n-A-C-F-m","m-g"
39661270,1,"a-n-A-C-F-m","m-g"
39687098,7,"a-n-A-C-F-m","m-g"
39666061,38,"a-n-A-C-F-m","m-g"
39684968,41,"a-n-A-C-F-m","m-g"
39684705,25,"a-n-A-C-F-m","m-g"
39683459,25,"a-n-A-C-F-m","m-g"
39661043,1,"a-n-A-C-F-m","m-g"
39658921,1,"a-n-A-C-F-m","m-g"
39671951,38,"a-n-A-C-F-m","m-g"
39684694,10,"a-n-A-C-F-m","m-g"
39672025,19,"a-n-A-C-F-m","m-g"
39681159,69,"a-n-A-C-F-s","m-g"
39669646,22,"a-n-A-C-F-m","m-g"
39685117,10,"a-n-A-C-F-m","m-g"
39673726,38,"a-n-A-C-F-m","m-g"
39662744,79,"a-n-A-C-F-m","m-g"
39672704,38,"a-n-A-C-F-m","m-g"
39679798,25,"a-n-A-C-F-m","m-g"
39687871,10,"a-n-A-C-F-m","m-g"
39681110,25,"a-n-A-C-F-m","m-g"
39666084,79,"a-n-A-C-F-m","m-g"
39682155,19,"a-n-A-C-F-m","m-g"
39687944,7,"a-n-A-C-F-m","m-g"
39680631,63,"a-n-A-C-F-m","m-g"
39684020,41,"a-n-A-C-F-m","m-g"
39670737,38,"a-n-A-C-F-m","m-g"
39670511,38,"a-n-A-C-F-m","m-g"
39684340,68,"a-n-A-C-F-m","m-g"
39690025,66,"a-n-A-C-F-m","m-g"
39669655,42,"a-n-A-C-F-m","m-g"
39671081,19,"a-n-A-C-F-m","m-g"
39664188,61,"a-n-A-C-F-m","m-g"
39669760,42,"a-n-A-C-F-m","m-g"
39684386,41,"a-n-A-C-F-m","m-g"
39679971,23,"a-n-A-C-F-m","m-g"
39667940,79,"a-n-A-C-F-m","m-g"
39673208,63,"a-n-A-C-F-m","m-g"
39676062,69,"a-n-A-C-F-s","m-g"
39661594,61,"a-n-A-C-F-m","m-g"
39668348,26,"a-n-A-C-F-m","m-g"
39668888,22,"a-n-A-C-F-m","m-g"
39660701,6,"a-n-A-C-F-m","m-g"
39675049,19,"a-n-A-C-F-m","m-g"
39676725,43,"a-n-A-C-F-m","m-g"
39662716,6,"a-n-A-C-F-m","m-g"
39684171,23,"a-n-A-C-F-m","m-g"
39662377,29,"a-n-A-C-F-m","m-g"
39682123,69,"a-n-A-C-F-s","m-g"
39671213,42,"a-n-A-C-F-m","m-g"
39680742,23,"a-n-A-C-F-m","m-g"
39685103,40,"a-n-A-C-F-m","m-g"
39675118,65,"a-n-A-C-F-m","m-g"
39662704,79,"a-n-A-C-F-m","m-g"
39670591,37,"a-n-A-C-F-m","m-g"
39676948,69,"a-n-A-C-F-s","m-g"
39667572,8,"a-n-A-C-F-m","m-g"
39691013,7,"a-n-A-C-F-m","m-g"
39659423,29,"a-n-A-C-F-m","m-g"
39662776,6,"a-n-A-C-F-m","m-g"
39664401,79,"a-n-A-C-F-m","m-g"
39672112,19,"a-n-A-C-F-m","m-g"
39668662,26,"a-n-A-C-F-m","m-g"
39688113,49,"a-n-A-C-F-m","m-g"
39689751,10,"a-n-A-C-F-m","m-g"
39678341,43,"a-n-A-C-F-m","m-g"
39659345,53,"a-n-A-C-F-m","m-g"
39661500,36,"a-n-A-C-F-m","m-g"
39664071,6,"a-n-A-C-F-m","m-g"
39664838,61,"a-n-A-C-F-m","m-g"
39681395,25,"a-n-A-C-F-m","m-g"
39664577,79,"a-n-A-C-F-m","m-g"
39664976,8,"a-n-A-C-F-m","m-g"
39680397,41,"a-n-A-C-F-m","m-g"
39663398,8,"a-n-A-C-F-m","m-g"
39675699,43,"a-n-A-C-F-m","m-g"
39681592,43,"a-n-A-C-F-m","m-g"
39665800,38,"a-n-A-C-F-m","m-g"
39680516,19,"a-n-A-C-F-m","m-g"
39686868,20,"a-n-A-C-F-m","m-g"
39670823,26,"a-n-A-C-F-m","m-g"
39677119,65,"a-n-A-C-F-m","m-g"
39689547,85,"a-n-A-C-F-m","m-g"
39676381,63,"a-n-A-C-F-m","m-g"
39674361,25,"a-n-A-C-F-m","m-g"
39661858,45,"a-n-A-C-F-m","m-g"
39660165,53,"a-n-A-C-F-m","m-g"
39680273,37,"a-n-A-C-F-m","m-g"
39688124,10,"a-n-A-C-F-m","m-g"
39660254,29,"a-n-A-C-F-m","m-g"
39683224,62,"a-n-A-C-F-m","m-g"
39657640,30,"a-n-A-C-F","m-g"
39684829,10,"a-n-A-C-F-m","m-g"
39660626,61,"a-n-A-C-F-m","m-g"
39690163,41,"a-n-A-C-F-m","m-g"
39682351,43,"a-n-A-C-F-m","m-g"
39680328,10,"a-n-A-C-F-m","m-g"
39685272,25,"a-n-A-C-F-m","m-g"
39676920,63,"a-n-A-C-F-m","m-g"
39671101,38,"a-n-A-C-F-m","m-g"
39669524,42,"a-n-A-C-F-m","m-g"
39686669,41,"a-n-A-C-F-m","m-g"
39662888,8,"a-n-A-C-F-m","m-g"
39672192,38,"a-n-A-C-F-m","m-g"
39682158,68,"a-n-A-C-F-m","m-g"
39669630,38,"a-n-A-C-F-m","m-g"
39667634,19,"a-n-A-C-F-m","m-g"
39659755,1,"a-n-A-C-F-m","m-g"
39687653,7,"a-n-A-C-F-m","m-g"
39689475,40,"a-n-A-C-F-m","m-g"
39663801,26,"a-n-A-C-F-m","m-g"
39661693,1,"a-n-A-C-F-m","m-g"
39661486,36,"a-n-A-C-F-m","m-g"
39660405,61,"a-n-A-C-F-m","m-g"
39676982,19,"a-n-A-C-F-m","m-g"
39686082,12,"a-n-A-C-F-m","m-g"
39683132,62,"a-n-A-C-F-m","m-g"
39663297,8,"a-n-A-C-F-m","m-g"
39686087,66,"a-n-A-C-F-m","m-g"
39676146,19,"a-n-A-C-F-m","m-g"
39659215,30,"a-n-A-C-F","m-g"
39675344,63,"a-n-A-C-F-m","m-g"
39678774,2,"a-n-A-C-F","m-g"
39683524,25,"a-n-A-C-F-m","m-g"
39661195,1,"a-n-A-C-F-m","m-g"
39664929,8,"a-n-A-C-F-m","m-g"
39682165,25,"a-n-A-C-F-m","m-g"
39668940,8,"a-n-A-C-F-m","m-g"
39665621,38,"a-n-A-C-F-m","m-g"
39672554,19,"a-n-A-C-F-m","m-g"
39674926,38,"a-n-A-C-F-m","m-g"
39667544,8,"a-n-A-C-F-m","m-g"
39670483,65,"a-n-A-C-F-m","m-g"
39660132,61,"a-n-A-C-F-m","m-g"
39658893,67,"a-n-A-C-F-m","m-g"
39680913,25,"a-n-A-C-F-m","m-g"
39663302,61,"a-n-A-C-F-m","m-g"
39685027,62,"a-n-A-C-F-m","m-g"
39673097,37,"a-n-A-C-F-m","m-g"
39684031,68,"a-n-A-C-F-m","m-g"
39668650,79,"a-n-A-C-F-m","m-g"
39671588,37,"a-n-A-C-F-m","m-g"
39670339,65,"a-n-A-C-F-m","m-g"
39676289,19,"a-n-A-C-F-m","m-g"
39663673,79,"a-n-A-C-F-m","m-g"
39681017,43,"a-n-A-C-F-m","m-g"
39659105,29,"a-n-A-C-F-m","m-g"
39686530,66,"a-n-A-C-F-m","m-g"
39685750,62,"a-n-A-C-F-m","m-g"
39674009,26,"a-n-A-C-F-m","m-g"
39671205,37,"a-n-A-C-F-m","m-g"
39660070,1,"a-n-A-C-F-m","m-g"
39685832,10,"a-n-A-C-F-m","m-g"
39665345,8,"a-n-A-C-F-m","m-g"
39675994,22,"a-n-A-C-F-m","m-g"
39669571,38,"a-n-A-C-F-m","m-g"
39662154,8,"a-n-A-C-F-m","m-g"
39659380,29,"a-n-A-C-F-m","m-g"
39664874,58,"a-n-A-C-F-m","m-g"
39681577,69,"a-n-A-C-F-s","m-g"
39683474,63,"a-n-A-C-F-m","m-g"
39669309,19,"a-n-A-C-F-m","m-g"
39668627,38,"a-n-A-C-F-m","m-g"
39684646,41,"a-n-A-C-F-m","m-g"
39678647,19,"a-n-A-C-F-m","m-g"
39658924,17,"a-n-A-C-F-m","m-g"
39678757,37,"a-n-A-C-F-m","m-g"
39678448,63,"a-n-A-C-F-m","m-g"
39669667,42,"a-n-A-C-F-m","m-g"
39679732,25,"a-n-A-C-F-m","m-g"
39663122,8,"a-n-A-C-F-m","m-g"
39688623,24,"a-n-A-C-F-m","m-g"
39684395,63,"a-n-A-C-F-m","m-g"
39678337,25,"a-n-A-C-F-m","m-g"
39663047,61,"a-n-A-C-F-m","m-g"
39678440,25,"a-n-A-C-F-m","m-g"
39678360,37,"a-n-A-C-F-m","m-g"
39667780,38,"a-n-A-C-F-m","m-g"
39690142,10,"a-n-A-C-F-m","m-g"
39673414,42,"a-n-A-C-F-m","m-g"
39679915,25,"a-n-A-C-F-m","m-g"
39678041,42,"a-n-A-C-F-m","m-g"
39672844,42,"a-n-A-C-F-m","m-g"
39685610,62,"a-n-A-C-F-m","m-g"
39671726,8,"a-n-A-C-F-m","m-g"
39682470,43,"a-n-A-C-F-m","m-g"
39681132,25,"a-n-A-C-F-m","m-g"
39683110,41,"a-n-A-C-F-m","m-g"
39675449,19,"a-n-A-C-F-m","m-g"
39686909,10,"a-n-A-C-F-m","m-g"
39668157,79,"a-n-A-C-F-m","m-g"
39689704,40,"a-n-A-C-F-m","m-g"
39673879,26,"a-n-A-C-F-m","m-g"
39665551,8,"a-n-A-C-F-m","m-g"
39678544,43,"a-n-A-C-F-m","m-g"
39659275,29,"a-n-A-C-F-m","m-g"
39678456,25,"a-n-A-C-F-m","m-g"
39687921,24,"a-n-A-C-F-m","m-g"
39669337,19,"a-n-A-C-F-m","m-g"
39682409,43,"a-n-A-C-F-m","m-g"
39670531,38,"a-n-A-C-F-m","m-g"
39677709,65,"a-n-A-C-F-m","m-g"
39689062,24,"a-n-A-C-F-m","m-g"
39670108,22,"a-n-A-C-F-m","m-g"
39663141,79,"a-n-A-C-F-m","m-g"
39681604,80,"a-n-A-C-F-m","m-g"
39683330,25,"a-n-A-C-F-m","m-g"
39685072,10,"a-n-A-C-F-m","m-g"
39686559,10,"a-n-A-C-F-m","m-g"
39666344,79,"a-n-A-C-F-m","m-g"
39661332,1,"a-n-A-C-F-m","m-g"
39685262,41,"a-n-A-C-F-m","m-g"
39670618,26,"a-n-A-C-F-m","m-g"
39676053,19,"a-n-A-C-F-m","m-g"
39681557,68,"a-n-A-C-F-m","m-g"
39668882,22,"a-n-A-C-F-m","m-g"
39660531,53,"a-n-A-C-F-m","m-g"
39684618,40,"a-n-A-C-F-m","m-g"
39686583,5,"a-n-A-C-F-m","m-g"
39666137,8,"a-n-A-C-F-m","m-g"
39664519,61,"a-n-A-C-F-m","m-g"
39659507,61,"a-n-A-C-F-m","m-g"
39662948,61,"a-n-A-C-F-m","m-g"
39672513,19,"a-n-A-C-F-m","m-g"
39684075,25,"a-n-A-C-F-m","m-g"
39682337,69,"a-n-A-C-F-s","m-g"
39666999,59,"a-n-A-C-F-m","m-g"
39681848,10,"a-n-A-C-F-m","m-g"
39658763,16,"a-n-A-C-F-m","m-g"
39673522,65,"a-n-A-C-F-m","m-g"
39671752,65,"a-n-A-C-F-m","m-g"
39669557,38,"a-n-A-C-F-m","m-g"
39665194,26,"a-n-A-C-F-m","m-g"
39673171,38,"a-n-A-C-F-m","m-g"
39667410,8,"a-n-A-C-F-m","m-g"
39673599,65,"a-n-A-C-F-m","m-g"
39667375,8,"a-n-A-C-F-m","m-g"
39672320,42,"a-n-A-C-F-m","m-g"
39667836,79,"a-n-A-C-F-m","m-g"
39660267,61,"a-n-A-C-F-m","m-g"
39670092,38,"a-n-A-C-F-m","m-g"
39669833,19,"a-n-A-C-F-m","m-g"
39688905,85,"a-n-A-C-F-m","m-g"
39670505,38,"a-n-A-C-F-m","m-g"
39661128,61,"a-n-A-C-F-m","m-g"
39678746,43,"a-n-A-C-F-m","m-g"
39682277,19,"a-n-A-C-F-m","m-g"
39684952,63,"a-n-A-C-F-m","m-g"
39682286,43,"a-n-A-C-F-m","m-g"
39659818,53,"a-n-A-C-F-m","m-g"
39663865,79,"a-n-A-C-F-m","m-g"
39668269,8,"a-n-A-C-F-m","m-g"
39668752,26,"a-n-A-C-F-m","m-g"
39664761,6,"a-n-A-C-F-m","m-g"
39660539,29,"a-n-A-C-F-m","m-g"
39667579,8,"a-n-A-C-F-m","m-g"
39678018,19,"a-n-A-C-F-m","m-g"
39661112,17,"a-n-A-C-F-m","m-g"
39663684,61,"a-n-A-C-F-m","m-g"
39670980,38,"a-n-A-C-F-m","m-g"
39681878,25,"a-n-A-C-F-m","m-g"
39685523,31,"a-n-A-C-F-m","m-g"
39687905,39,"a-n-A-C-F-m","m-g"
39664082,61,"a-n-A-C-F-m","m-g"
39666524,8,"a-n-A-C-F-m","m-g"
39690988,7,"a-n-A-C-F-m","m-g"
39664341,79,"a-n-A-C-F-m","m-g"
39680407,43,"a-n-A-C-F-m","m-g"
39689352,49,"a-n-A-C-F-m","m-g"
39678197,43,"a-n-A-C-F-m","m-g"
39668319,26,"a-n-A-C-F-m","m-g"
39686999,49,"a-n-A-C-F-m","m-g"
39686915,25,"a-n-A-C-F-m","m-g"
39668041,79,"a-n-A-C-F-m","m-g"
39684633,10,"a-n-A-C-F-m","m-g"
39688907,7,"a-n-A-C-F-m","m-g"
39667960,79,"a-n-A-C-F-m","m-g"
39673355,63,"a-n-A-C-F-m","m-g"
39688787,66,"a-n-A-C-F-m","m-g"
39660837,53,"a-n-A-C-F-m","m-g"
39684413,10,"a-n-A-C-F-m","m-g"
39667729,26,"a-n-A-C-F-m","m-g"
39659897,53,"a-n-A-C-F-m","m-g"
39664050,79,"a-n-A-C-F-m","m-g"
39661905,79,"a-n-A-C-F-m","m-g"
39667001,26,"a-n-A-C-F-m","m-g"
39676199,42,"a-n-A-C-F-m","m-g"
39665761,38,"a-n-A-C-F-m","m-g"
39683413,10,"a-n-A-C-F-m","m-g"
39675848,69,"a-n-A-C-F-s","m-g"
39673678,63,"a-n-A-C-F-m","m-g"
39679577,65,"a-n-A-C-F-m","m-g"
39661308,1,"a-n-A-C-F-m","m-g"
39690359,10,"a-n-A-C-F-m","m-g"
39688510,7,"a-n-A-C-F-m","m-g"
39667900,26,"a-n-A-C-F-m","m-g"
39680640,19,"a-n-A-C-F-m","m-g"
39683924,40,"a-n-A-C-F-m","m-g"
39669455,58,"a-n-A-C-F-m","m-g"
39677166,37,"a-n-A-C-F-m","m-g"
39673218,38,"a-n-A-C-F-m","m-g"
39682526,25,"a-n-A-C-F-m","m-g"
39685444,10,"a-n-A-C-F-m","m-g"
39658699,53,"a-n-A-C-F-m","m-g"
39661095,45,"a-n-A-C-F-m","m-g"
39671671,42,"a-n-A-C-F-m","m-g"
39659908,17,"a-n-A-C-F-m","m-g"
39689988,10,"a-n-A-C-F-m","m-g"
39683425,25,"a-n-A-C-F-m","m-g"
39660388,29,"a-n-A-C-F-m","m-g"
39671682,26,"a-n-A-C-F-m","m-g"
39688240,49,"a-n-A-C-F-m","m-g"
39669929,19,"a-n-A-C-F-m","m-g"
39685282,25,"a-n-A-C-F-m","m-g"
39685880,66,"a-n-A-C-F-m","m-g"
39658797,29,"a-n-A-C-F-m","m-g"
39662894,79,"a-n-A-C-F-m","m-g"
39668258,58,"a-n-A-C-F-m","m-g"
39663294,36,"a-n-A-C-F-m","m-g"
39687214,20,"a-n-A-C-F-m","m-g"
39675547,37,"a-n-A-C-F-m","m-g"
39668809,8,"a-n-A-C-F-m","m-g"
39669060,38,"a-n-A-C-F-m","m-g"
39664391,79,"a-n-A-C-F-m","m-g"
39677632,19,"a-n-A-C-F-m","m-g"
39662366,61,"a-n-A-C-F-m","m-g"
39668636,26,"a-n-A-C-F-m","m-g"
39672113,37,"a-n-A-C-F-m","m-g"
39690564,7,"a-n-A-C-F-m","m-g"
39665616,8,"a-n-A-C-F-m","m-g"
39683056,41,"a-n-A-C-F-m","m-g"
39665312,61,"a-n-A-C-F-m","m-g"
39666090,8,"a-n-A-C-F-m","m-g"
39665829,79,"a-n-A-C-F-m","m-g"
39679369,19,"a-n-A-C-F-m","m-g"
39684025,40,"a-n-A-C-F-m","m-g"
39677405,42,"a-n-A-C-F-m","m-g"
39661629,45,"a-n-A-C-F-m","m-g"
39669097,79,"a-n-A-C-F-m","m-g"
39685998,10,"a-n-A-C-F-m","m-g"
39679519,37,"a-n-A-C-F-m","m-g"
39688856,41,"a-n-A-C-F-m","m-g"
39667163,58,"a-n-A-C-F-m","m-g"
39688394,62,"a-n-A-C-F-m","m-g"
39667987,79,"a-n-A-C-F-m","m-g"
39659447,1,"a-n-A-C-F-m","m-g"
39684494,40,"a-n-A-C-F-m","m-g"
39669996,42,"a-n-A-C-F-m","m-g"
39660691,53,"a-n-A-C-F-m","m-g"
39687195,10,"a-n-A-C-F-m","m-g"
39658843,17,"a-n-A-C-F-m","m-g"
39677257,25,"a-n-A-C-F-m","m-g"
39669513,38,"a-n-A-C-F-m","m-g"
39658824,29,"a-n-A-C-F-m","m-g"
39684973,10,"a-n-A-C-F-m","m-g"
39677327,43,"a-n-A-C-F-m","m-g"
39671304,38,"a-n-A-C-F-m","m-g"
39667491,38,"a-n-A-C-F-m","m-g"
39669141,38,"a-n-A-C-F-m","m-g"
39685618,68,"a-n-A-C-F-m","m-g"
39665423,8,"a-n-A-C-F-m","m-g"
39664631,26,"a-n-A-C-F-m","m-g"
39669340,38,"a-n-A-C-F-m","m-g"
39684068,41,"a-n-A-C-F-m","m-g"
39665185,38,"a-n-A-C-F-m","m-g"
39676056,19,"a-n-A-C-F-m","m-g"
39682054,19,"a-n-A-C-F-m","m-g"
39660587,29,"a-n-A-C-F-m","m-g"
39680224,43,"a-n-A-C-F-m","m-g"
39681836,23,"a-n-A-C-F-m","m-g"
39667044,79,"a-n-A-C-F-m","m-g"
39689833,39,"a-n-A-C-F-m","m-g"
39679290,37,"a-n-A-C-F-m","m-g"
39686227,10,"a-n-A-C-F-m","m-g"
39663110,79,"a-n-A-C-F-m","m-g"
39661996,53,"a-n-A-C-F-m","m-g"
39662910,61,"a-n-A-C-F-m","m-g"
39682629,40,"a-n-A-C-F-m","m-g"
39658914,16,"a-n-A-C-F-m","m-g"
39660435,61,"a-n-A-C-F-m","m-g"
39671478,19,"a-n-A-C-F-m","m-g"
39670033,65,"a-n-A-C-F-m","m-g"
39683086,41,"a-n-A-C-F-m","m-g"
39684377,40,"a-n-A-C-F-m","m-g"
39684788,63,"a-n-A-C-F-m","m-g"
39663903,61,"a-n-A-C-F-m","m-g"
39661510,61,"a-n-A-C-F-m","m-g"
39668903,22,"a-n-A-C-F-m","m-g"
39670732,8,"a-n-A-C-F-m","m-g"
39661754,61,"a-n-A-C-F-m","m-g"
39667260,79,"a-n-A-C-F-m","m-g"
39673947,63,"a-n-A-C-F-m","m-g"
39681007,63,"a-n-A-C-F-m","m-g"
39679525,65,"a-n-A-C-F-m","m-g"
39669653,38,"a-n-A-C-F-m","m-g"
39677781,43,"a-n-A-C-F-m","m-g"
39677617,37,"a-n-A-C-F-m","m-g"
39678561,37,"a-n-A-C-F-m","m-g"
39686637,10,"a-n-A-C-F-m","m-g"
39674066,38,"a-n-A-C-F-m","m-g"
39666099,8,"a-n-A-C-F-m","m-g"
39689562,85,"a-n-A-C-F-m","m-g"
39681733,43,"a-n-A-C-F-m","m-g"
39659842,6,"a-n-A-C-F-m","m-g"
39662557,53,"a-n-A-C-F-m","m-g"
39681172,41,"a-n-A-C-F-m","m-g"
39663009,6,"a-n-A-C-F-m","m-g"
39673038,37,"a-n-A-C-F-m","m-g"
39659525,53,"a-n-A-C-F-m","m-g"
39679355,23,"a-n-A-C-F-m","m-g"
39677566,42,"a-n-A-C-F-m","m-g"
39686981,62,"a-n-A-C-F-m","m-g"
39673004,63,"a-n-A-C-F-m","m-g"
39666599,79,"a-n-A-C-F-m","m-g"
39682137,19,"a-n-A-C-F-m","m-g"
39671229,26,"a-n-A-C-F-m","m-g"
39667173,26,"a-n-A-C-F-m","m-g"
39689692,39,"a-n-A-C-F-m","m-g"
39661309,67,"a-n-A-C-F-m","m-g"
39658759,17,"a-n-A-C-F-m","m-g"
39683052,62,"a-n-A-C-F-m","m-g"
39690690,39,"a-n-A-C-F-m","m-g"
39662275,29,"a-n-A-C-F-m","m-g"
39684156,25,"a-n-A-C-F-m","m-g"
39670347,65,"a-n-A-C-F-m","m-g"
39667876,38,"a-n-A-C-F-m","m-g"
39663653,8,"a-n-A-C-F-m","m-g"
39673292,19,"a-n-A-C-F-m","m-g"
39672086,87,"a-n-A-C-F-m","m-g"
39680385,25,"a-n-A-C-F-m","m-g"
39683188,68,"a-n-A-C-F-m","m-g"
39676360,69,"a-n-A-C-F-s","m-g"
39665979,58,"a-n-A-C-F-m","m-g"
39683033,63,"a-n-A-C-F-m","m-g"
39666589,79,"a-n-A-C-F-m","m-g"
39672785,37,"a-n-A-C-F-m","m-g"
39660432,45,"a-n-A-C-F-m","m-g"
39666557,38,"a-n-A-C-F-m","m-g"
39674406,63,"a-n-A-C-F-m","m-g"
39688659,7,"a-n-A-C-F-m","m-g"
39668236,38,"a-n-A-C-F-m","m-g"
39687806,66,"a-n-A-C-F-m","m-g"
39678991,37,"a-n-A-C-F-m","m-g"
39661249,45,"a-n-A-C-F-m","m-g"
39668149,58,"a-n-A-C-F-m","m-g"
39688916,7,"a-n-A-C-F-m","m-g"
39685192,43,"a-n-A-C-F-m","m-g"
39666875,79,"a-n-A-C-F-m","m-g"
39664106,61,"a-n-A-C-F-m","m-g"
39688557,10,"a-n-A-C-F-m","m-g"
39690702,62,"a-n-A-C-F-m","m-g"
39667734,8,"a-n-A-C-F-m","m-g"
39662845,61,"a-n-A-C-F-m","m-g"
39689967,7,"a-n-A-C-F-m","m-g"
39659679,29,"a-n-A-C-F-m","m-g"
39690586,40,"a-n-A-C-F-m","m-g"
39660710,6,"a-n-A-C-F-m","m-g"
39681667,43,"a-n-A-C-F-m","m-g"
39682547,19,"a-n-A-C-F-m","m-g"
39664733,61,"a-n-A-C-F-m","m-g"
39683610,23,"a-n-A-C-F-m","m-g"
39683805,10,"a-n-A-C-F-m","m-g"
39659219,16,"a-n-A-C-F-m","m-g"
39667396,79,"a-n-A-C-F-m","m-g"
39681388,69,"a-n-A-C-F-s","m-g"
39669243,42,"a-n-A-C-F-m","m-g"
39678382,25,"a-n-A-C-F-m","m-g"
39664454,26,"a-n-A-C-F-m","m-g"
39679305,42,"a-n-A-C-F-m","m-g"
39686877,10,"a-n-A-C-F-m","m-g"
39664472,79,"a-n-A-C-F-m","m-g"
39670649,26,"a-n-A-C-F-m","m-g"
39669713,38,"a-n-A-C-F-m","m-g"
39671911,65,"a-n-A-C-F-m","m-g"
39687139,10,"a-n-A-C-F-m","m-g"
39670829,38,"a-n-A-C-F-m","m-g"
39670544,38,"a-n-A-C-F-m","m-g"